종목명,티커,보유 수량,현재가,평가금,통화
스타우드프로퍼티,STWD,10,16.915,169.15,USD
펩시코,PEP,0.045331,143.0,6.48,USD
APLY,APLY,35.79855,11.87,424.93,USD
메타,META,2.044112,563.54,1151.94,USD
알버말,ALB,1,168.3,168.3,USD
유나이티드헬스그룹,UNH,0.01537,406.405,6.25,USD
BITC,BITC,10,38.98,389.8,USD
센틴,CNC,0.096977,63.82,6.19,USD
버티브홀딩스,VRT,3,303.11,909.33,USD
슈퍼마이크로컴퓨터,SMCI,15,30.885,463.28,USD
TLT,TLT,1.021611,85.525,87.37,USD
KRBN,KRBN,4,32.6,130.4,USD
홈디포,HD,10.288559,326.4,3358.19,USD
NVDW,NVDW,7,37.5,262.5,USD
NVDY,NVDY,148.910849,12.905,1921.69,USD
사운드하운드AI,SOUN,10,6.9601,69.6,USD
츄이,CHWY,0.287164,18.455,5.3,USD
게임스탑,GME,0.249232,21.79,5.43,USD
인튜이트,INTU,0.018618,268.695,5.0,USD
먼데이닷컴,MNDY,0.652001,76.715,50.02,USD
에어로바이런먼트,AVAV,4,175.2957,701.18,USD
디웨이브퀀텀,QBTS,40,23.73,949.2,USD
SNOY,SNOY,5,10.36,51.8,USD
오키드아일랜드캐피탈,ORC,8,6.57,52.56,USD
깃랩,GTLB,1,27.88,27.88,USD
유아이패스,PATH,4.052476,10.24,41.5,USD
크라토스디펜스앤시큐리티솔루션즈,KTOS,9,59.02,531.18,USD
어도비,ADBE,0.019878,201.505,4.01,USD
도세보,DCBO,10,18.12,181.2,USD
허브스팟,HUBS,0.021195,181.7,3.85,USD
리비안,RIVN,0.990437,15.86,15.71,USD
NFLY,NFLY,10,8.76,87.6,USD
유니티소프트웨어,U,2,26.39,52.78,USD
업워크,UPWK,4.042127,8.48,34.28,USD
리게티컴퓨팅,RGTI,20.84727,21.1433,440.78,USD
아레스커머셜리얼에스테이트,ACRE,8,4.98,39.84,USD
BITO,BITO,5.324754,8.615,45.87,USD
IONX,IONX,2,63.4501,126.9,USD
리튬아메리카스,LAC,3,4.495,13.48,USD
콘아그라브랜즈,CAG,0.220229,13.3401,2.94,USD
써클인터넷그룹,CRCL,2,79.285,158.57,USD
CONY,CONY,10.034987,20.93,210.03,USD
나이키,NKE,0.064681,45.33,2.93,USD
불리쉬,BULL,1,6.675,6.67,USD
이팸시스템즈,EPAM,0.029186,93.47,2.73,USD
마르케타,MQ,1.395209,3.755,5.24,USD
룰루레몬,LULU,0.022166,119.02,2.64,USD
아틀라시언,TEAM,1,86.495,86.5,USD
리튬아르헨티나AG,LAC,3,4.5299,13.59,USD
아사나,ASAN,3.315625,7.215,23.92,USD
SMCY,SMCY,25,5.315,132.88,USD
MSTY,MSTY,2,16.8828,33.77,USD
레디캐피탈,RC,7,1.725,12.08,USD
MSTU,MSTU,1,3.315,3.31,USD
삼성전자,005930.KS,151,322500.0,48697500.0,KRW
SNT홀딩스,100840.KS,1,33600.0,33600.0,KRW
삼지전자,037460.KQ,31,41550.0,1288050.0,KRW
우리금융지주,316140.KS,5,31150.0,155750.0,KRW
하나금융지주,086790.KS,2,121000.0,242000.0,KRW
한국금융지주,071050.KS,1,240500.0,240500.0,KRW
신한지주,055550.KS,1,99600.0,99600.0,KRW
BNK금융지주,138930.KS,20,17670.0,353400.0,KRW
기업은행,024110.KS,1,21800.0,21800.0,KRW
DB증권,016610.KS,2,10730.0,21460.0,KRW
덕산하이메탈,077360.KQ,20,14480.0,289600.0,KRW
펌텍코리아,251970.KQ,10,36850.0,368500.0,KRW
기아,000270.KS,2,166800.0,333600.0,KRW
코오롱,002020.KS,3,51400.0,154200.0,KRW
엘앤에프,066970.KS,1,134000.0,134000.0,KRW
서부T&D,006730.KS,22,11740.0,258280.0,KRW
JYP Ent.,035900.KQ,3,55900.0,167700.0,KRW
한국콜마,161890.KS,2,86400.0,172800.0,KRW
NAVER,035420.KS,1,247000.0,247000.0,KRW
SK디스커버리,006120.KS,1,46400.0,46400.0,KRW
카카오뱅크,323410.KQ,2,23400.0,46800.0,KRW
RISE 미국나스닥100,133690.KS,8,197890.0,1583120.0,KRW
TIGER 미국테크TOP10타겟커버드콜,437080.KS,10,99145.0,991450.0,KRW
이마트,139480.KS,2,88600.0,177200.0,KRW
넥센우,005725.KS,10,4380.0,43800.0,KRW
KISCO홀딩스,001390.KS,3,4715.0,14145.0,KRW
카카오페이,377300.KQ,1,44800.0,44800.0,KRW
RISE 미국S&P500,360750.KS,8,27880.0,223040.0,KRW
세아제강,306200.KS,1,141200.0,141200.0,KRW
한일홀딩스,003460.KS,8,3165.0,25320.0,KRW
KODEX 삼성전자단일종목레버리지,292150.KS,5,44815.0,224075.0,KRW
메가스터디,072870.KQ,1,13140.0,13140.0,KRW
TIGER 미국배당다우존스타겟커버드콜2호,458730.KS,11,15670.0,172370.0,KRW
유니트론텍,142210.KQ,18,6820.0,122760.0,KRW
코나아이,052400.KQ,2,49950.0,99900.0,KRW
카카오,035720.KQ,2,39300.0,78600.0,KRW
더블유게임즈,192080.KQ,2,74600.0,149200.0,KRW
쿠쿠홀딩스,192400.KS,5,25850.0,129250.0,KRW
와이지엔터테인먼트,122870.KQ,2,45900.0,91800.0,KRW
HL만도,204320.KS,2,65000.0,130000.0,KRW
씨아이에스,222080.KQ,10,10730.0,107300.0,KRW
샘표,007540.KS,1,43350.0,43350.0,KRW
한국알콜,017890.KS,10,11570.0,115700.0,KRW
헥토이노베이션,234340.KQ,3,23400.0,70200.0,KRW
네오위즈,095660.KQ,1,19780.0,19780.0,KRW
다날,064260.KQ,10,5320.0,53200.0,KRW
휴메딕스,200130.KQ,5,9220.0,46100.0,KRW
이지케어텍,064850.KQ,2,24600.0,49200.0,KRW
IPARK현대산업개발,012690.KS,3,1689.0,5067.0,KRW
DSR,155660.KS,10,4280.0,42800.0,KRW
하나투어,039130.KQ,2,34500.0,69000.0,KRW
BGF에코머티리얼즈,455900.KS,20,21950.0,439000.0,KRW
쇼박스,086980.KQ,6,2585.0,15510.0,KRW
에피소드컴퍼니,382800.KQ,1,6300.0,6300.0,KRW
위메이드,112040.KQ,2,17940.0,35880.0,KRW
샘표식품,248170.KQ,2,22900.0,45800.0,KRW
현대바이오랜드,052260.KQ,10,3750.0,37500.0,KRW
배럴,355150.KQ,1,33900.0,33900.0,KRW
넥써쓰,356860.KQ,10,100200.0,1002000.0,KRW
키다리스튜디오,020120.KQ,1,3250.0,3250.0,KRW
한온시스템,018880.KS,1,4700.0,4700.0,KRW
천보,278280.KQ,1,42550.0,42550.0,KRW
시디즈,134790.KQ,1,18400.0,18400.0,KRW
소프트센,032680.KQ,5,905.0,4525.0,KRW
원익피앤이,094820.KQ,11,14200.0,156200.0,KRW
케어랩스,263700.KQ,20,1967.0,39340.0,KRW
인크로스,216050.KQ,3,5830.0,17490.0,KRW
에스디바이오센서,137310.KQ,1,7140.0,7140.0,KRW
뉴인텍,012340.KS,7,1045.0,7315.0,KRW
유틸렉스,263050.KQ,7,959.0,6713.0,KRW
뉴인텍 21R,012340.KS,4,1045.0,4180.0,KRW
